epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
41,314.856,0.57872,0.39192,0.90192,0.88304,0,1,0.93715,0.995,0.87906,1,0.93715,0.995,0.87169,0.4766,0.31575,2.35627,0.82057,0,0.00097848,0.00097848,0.00097848
42,323.445,0.51585,0.33632,0.89772,0.83876,0,1,0.78035,0.995,0.83275,1,0.78035,0.995,0.89339,0.55382,0.3665,2.41756,0.83646,0,0.000986206,0.000986206,0.000986206
43,332.861,0.50438,0.37753,0.97812,0.82285,0,1,0.78035,0.995,0.83275,1,0.78035,0.995,0.89339,0.55382,0.3665,2.41756,0.83646,0,0.00099314,0.00099314,0.00099314
44,340.673,0.58564,0.30981,1.13145,0.86596,0,1,0.8918,0.995,0.82824,1,0.8918,0.995,0.8931,0.60046,0.3621,2.36569,0.84878,0,0.000999282,0.000999282,0.000999282
45,348.176,0.54239,0.35805,0.92702,0.82502,0,1,0.8918,0.995,0.82824,1,0.8918,0.995,0.8931,0.60046,0.3621,2.36569,0.84878,0,0.00100463,0.00100463,0.00100463
46,356.701,0.52825,0.31125,1.01896,0.82979,0,1,0.98196,0.995,0.88156,1,0.98196,0.995,0.87928,0.49097,0.35216,2.11082,0.82327,0,0.00100919,0.00100919,0.00100919
47,364.74,0.49307,0.34155,0.83012,0.83936,0,1,0.98196,0.995,0.88156,1,0.98196,0.995,0.87928,0.49097,0.35216,2.11082,0.82327,0,0.00101296,0.00101296,0.00101296
48,372.266,0.45921,0.27606,0.968,0.83871,0,1,0.9935,0.995,0.91545,1,0.9935,0.995,0.88977,0.46238,0.34596,1.83092,0.81927,0,0.00101593,0.00101593,0.00101593
49,379.823,0.47285,0.24484,0.8179,0.82667,0,1,0.9935,0.995,0.91545,1,0.9935,0.995,0.88977,0.46238,0.34596,1.83092,0.81927,0,0.00101811,0.00101811,0.00101811
50,387.679,0.47495,0.35405,0.80048,0.79324,0,1,0.99864,0.995,0.91185,1,0.99864,0.995,0.90375,0.45202,0.36292,1.61634,0.81932,0,0.0010195,0.0010195,0.0010195
51,395.19,0.47534,0.37173,0.91,0.81879,0,1,0.99864,0.995,0.91185,1,0.99864,0.995,0.90375,0.45202,0.36292,1.61634,0.81932,0,0.00101,0.00101,0.00101
52,403.152,0.44056,0.30165,0.8894,0.79606,0,0.99774,1,0.995,0.91914,0.99774,1,0.995,0.87276,0.44588,0.34858,1.44422,0.81795,0,0.0009902,0.0009902,0.0009902
53,411.677,0.43926,0.32248,0.92513,0.79039,0,0.99774,1,0.995,0.91914,0.99774,1,0.995,0.87276,0.44588,0.34858,1.44422,0.81795,0,0.0009704,0.0009704,0.0009704
54,420.487,0.48893,0.35499,0.83464,0.79463,0,0.99514,1,0.995,0.92347,0.99514,1,0.995,0.88054,0.43371,0.29116,1.3461,0.81587,0,0.0009506,0.0009506,0.0009506
55,428.229,0.4738,0.31788,0.99153,0.83574,0,0.99514,1,0.995,0.92347,0.99514,1,0.995,0.88054,0.43371,0.29116,1.3461,0.81587,0,0.0009308,0.0009308,0.0009308
56,435.864,0.5328,0.32725,0.81391,0.84427,0,0.9974,1,0.995,0.92134,0.9974,1,0.995,0.88286,0.44881,0.27162,1.32849,0.81816,0,0.000911,0.000911,0.000911
57,443.78,0.43888,0.37737,0.89899,0.85167,0,0.9974,1,0.995,0.92134,0.9974,1,0.995,0.88286,0.44881,0.27162,1.32849,0.81816,0,0.0008912,0.0008912,0.0008912
58,451.922,0.45335,0.29593,0.81331,0.82009,0,0.99653,1,0.995,0.87611,0.99653,1,0.995,0.89127,0.52484,0.25952,1.25483,0.82539,0,0.0008714,0.0008714,0.0008714
59,459.288,0.48675,0.34455,0.89167,0.81384,0,0.99653,1,0.995,0.87611,0.99653,1,0.995,0.89127,0.52484,0.25952,1.25483,0.82539,0,0.0008516,0.0008516,0.0008516
60,466.818,0.46338,0.32941,0.92599,0.85018,0,0.99567,1,0.995,0.8961,0.99567,1,0.995,0.89079,0.46826,0.25102,1.09549,0.81718,0,0.0008318,0.0008318,0.0008318
61,475.072,0.39562,0.38107,0.84874,0.80863,0,0.99567,1,0.995,0.8961,0.99567,1,0.995,0.89079,0.46826,0.25102,1.09549,0.81718,0,0.000812,0.000812,0.000812
62,483.663,0.42524,0.33746,0.81147,0.8513,0,0.9967,1,0.995,0.91438,0.9967,1,0.995,0.91141,0.41704,0.22883,1.00719,0.80949,0,0.0007922,0.0007922,0.0007922
